"wdpaid","unesco_region"
67727,"Africa"
20171,"Africa"
9545,"Africa"
17758,"Africa"
2578,"Africa"
903129,"Africa"
4327,"Africa"
4328,"Africa"
555547987,"Africa"
16792,"Africa"
2574,"Africa"
2580,"Africa"
124389,"Africa"
10906,"Africa"
555547988,"Africa"
5003,"Africa"
2017,"Africa"
124385,"Africa"
5004,"Africa"
61609,"Africa"
902347,"Africa"
198302,"Africa"
555542339,"Africa"
17761,"Africa"
10904,"Africa"
145586,"Africa"
900006,"Africa"
10907,"Africa"
20399,"Africa"
145585,"Africa"
555556048,"Africa"
2010,"Africa"
555577555,"Africa"
903062,"Africa"
61608,"Africa"
5005,"Africa"
2575,"Africa"
2006,"Africa"
26653,"Africa"
9628,"Africa"
902483,"Africa"
20388,"Arab States"
4322,"Arab States"
903138,"Arab States"
4999,"Arab States"
902487,"Arab States"
555542337,"Arab States"
555547989,"Asia and the Pacific"
555512005,"Asia and the Pacific"
67733,"Asia and the Pacific"
903130,"Asia and the Pacific"
67732,"Asia and the Pacific"
124384,"Asia and the Pacific"
26654,"Asia and the Pacific"
903136,"Asia and the Pacific"
17050,"Asia and the Pacific"
198295,"Asia and the Pacific"
555542336,"Asia and the Pacific"
903137,"Asia and the Pacific"
68915,"Asia and the Pacific"
902482,"Asia and the Pacific"
902902,"Asia and the Pacific"
903131,"Asia and the Pacific"
555556049,"Asia and the Pacific"
900881,"Asia and the Pacific"
900880,"Asia and the Pacific"
67731,"Asia and the Pacific"
555556045,"Asia and the Pacific"
68916,"Asia and the Pacific"
61604,"Asia and the Pacific"
168242,"Asia and the Pacific"
67730,"Asia and the Pacific"
12202,"Asia and the Pacific"
2571,"Asia and the Pacific"
220294,"Asia and the Pacific"
145576,"Asia and the Pacific"
2572,"Asia and the Pacific"
5001,"Asia and the Pacific"
145579,"Asia and the Pacific"
168239,"Asia and the Pacific"
555542338,"Asia and the Pacific"
555512002,"Asia and the Pacific"
900878,"Asia and the Pacific"
555547992,"Asia and the Pacific"
67724,"Asia and the Pacific"
5000,"Asia and the Pacific"
26652,"Asia and the Pacific"
26649,"Asia and the Pacific"
900010,"Asia and the Pacific"
17757,"Asia and the Pacific"
2573,"Asia and the Pacific"
555512000,"Asia and the Pacific"
10905,"Asia and the Pacific"
555577557,"Asia and the Pacific"
10744,"Asia and the Pacific"
10746,"Asia and the Pacific"
10745,"Asia and the Pacific"
16793,"Asia and the Pacific"
2007,"Asia and the Pacific"
16791,"Asia and the Pacific"
14177,"Asia and the Pacific"
145580,"Asia and the Pacific"
555547990,"Asia and the Pacific"
902480,"Asia and the Pacific"
220293,"Asia and the Pacific"
900889,"Asia and the Pacific"
220292,"Asia and the Pacific"
67725,"Asia and the Pacific"
198298,"Asia and the Pacific"
555577558,"Asia and the Pacific"
900883,"Asia and the Pacific"
198299,"Asia and the Pacific"
67729,"Asia and the Pacific"
555577559,"Asia and the Pacific"
902335,"Asia and the Pacific"
68917,"Asia and the Pacific"
67726,"Asia and the Pacific"
2008,"Europe and North America"
93292,"Europe and North America"
900629,"Europe and North America"
67728,"Europe and North America"
4326,"Europe and North America"
168241,"Europe and North America"
478637,"Europe and North America"
478640,"Europe and North America"
124386,"Europe and North America"
555547991,"Europe and North America"
18862,"Europe and North America"
18863,"Europe and North America"
2015,"Europe and North America"
902356,"Europe and North America"
9613,"Europe and North America"
2016,"Europe and North America"
903141,"Europe and North America"
555512003,"Europe and North America"
12209,"Europe and North America"
9612,"Europe and North America"
93294,"Europe and North America"
124387,"Europe and North America"
198301,"Europe and North America"
26689,"Europe and North America"
93291,"Europe and North America"
2004,"Europe and North America"
2012,"Europe and North America"
2011,"Europe and North America"
9632,"Europe and North America"
17759,"Europe and North America"
18337,"Europe and North America"
903133,"Europe and North America"
2018,"Europe and North America"
2577,"Europe and North America"
198294,"Europe and North America"
2005,"Europe and North America"
2579,"Europe and North America"
555512001,"Europe and North America"
4325,"Europe and North America"
93295,"Europe and North America"
10902,"Europe and North America"
2013,"Europe and North America"
10908,"Europe and North America"
61611,"Europe and North America"
900632,"Europe and North America"
12206,"Europe and North America"
12207,"Europe and North America"
93767,"Europe and North America"
9617,"Europe and North America"
12896,"Europe and North America"
478642,"Europe and North America"
198303,"Europe and North America"
902373,"Europe and North America"
900008,"Europe and North America"
903134,"Europe and North America"
124388,"Europe and North America"
198300,"Europe and North America"
93290,"Europe and North America"
900879,"Europe and North America"
555556047,"Europe and North America"
555512006,"Europe and North America"
145590,"Europe and North America"
902368,"Europe and North America"
555577556,"Europe and North America"
903139,"Europe and North America"
900633,"Europe and North America"
903140,"Europe and North America"
903132,"Europe and North America"
478641,"Europe and North America"
478638,"Europe and North America"
902489,"Europe and North America"
900628,"Latin America and the Caribbean"
555577560,"Latin America and the Caribbean"
198296,"Latin America and the Caribbean"
124383,"Latin America and the Caribbean"
145582,"Latin America and the Caribbean"
902479,"Latin America and the Caribbean"
2554,"Latin America and the Caribbean"
198297,"Latin America and the Caribbean"
555556046,"Latin America and the Caribbean"
902481,"Latin America and the Caribbean"
903135,"Latin America and the Caribbean"
145583,"Latin America and the Caribbean"
902367,"Latin America and the Caribbean"
5002,"Latin America and the Caribbean"
20062,"Latin America and the Caribbean"
10903,"Latin America and the Caribbean"
197,"Latin America and the Caribbean"
68918,"Latin America and the Caribbean"
198293,"Latin America and the Caribbean"
900631,"Latin America and the Caribbean"
61612,"Latin America and the Caribbean"
220296,"Latin America and the Caribbean"
220298,"Latin America and the Caribbean"
900630,"Latin America and the Caribbean"
198292,"Latin America and the Caribbean"
191,"Latin America and the Caribbean"
9623,"Latin America and the Caribbean"
10747,"Latin America and the Caribbean"
12203,"Latin America and the Caribbean"
10901,"Latin America and the Caribbean"
220291,"Latin America and the Caribbean"
2570,"Latin America and the Caribbean"
61610,"Latin America and the Caribbean"
902899,"Latin America and the Caribbean"
17760,"Latin America and the Caribbean"
220295,"Latin America and the Caribbean"
220297,"Latin America and the Caribbean"
198291,"Latin America and the Caribbean"
26651,"Latin America and the Caribbean"
9614,"Latin America and the Caribbean"
555555555,"Latin America and the Caribbean"
555622040,"Asia and the Pacific"
555622041,"Latin America and the Caribbean"
555622042,"Asia and the Pacific"
555622043,"Asia and the Pacific"
555622044,"Arab States"
555622045,"Arab States"
555622046,"Europe and North America"
555622047,"Asia and the Pacific"
555622048,"Africa"
555624857,"Asia and the Pacific"
555624858,"Latin America and the Caribbean"
555624859,"Asia and the Pacific"
